I, [2024-11-19T10:35:13.018690 #28200]  INFO -- : Processed file: example_file
I, [2024-11-19T10:39:24.875889 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Sleek Rubber Shirt, price: 239.17, subtitle: Vel numquam natus dolor sint., image_url: fugiat.jpg
I, [2024-11-19T10:39:24.876374 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Incredible Rubber Wallet, price: 258.12, subtitle: Et necessitatibus atque vitae numquam., image_url: ea.jpg
I, [2024-11-19T10:39:24.876675 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Incredible Rubber Wallet, price: 258.12, subtitle: Et necessitatibus atque vitae numquam., image_url: ea.jpg
I, [2024-11-19T10:39:24.877183 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Fantastic Steel Bag, price: 609.85, subtitle: Molestiae magni minus et qui., image_url: aut.jpg
I, [2024-11-19T10:39:24.877474 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Fantastic Steel Bag, price: 609.85, subtitle: Molestiae magni minus et qui., image_url: aut.jpg
I, [2024-11-19T10:39:24.877817 #11512]  INFO -- : 5 test items generated
I, [2024-11-19T10:39:24.878102 #11512]  INFO -- : Showing all items in the cart
I, [2024-11-19T10:39:24.881328 #11512]  INFO -- : Items saved to text file: output/items.txt
I, [2024-11-19T10:39:24.882511 #11512]  INFO -- : Items saved to JSON file: output/items.json
I, [2024-11-19T10:39:24.884215 #11512]  INFO -- : Items saved to CSV file: output/items.csv
I, [2024-11-19T10:39:24.903466 #11512]  INFO -- : Items saved to YAML files in directory: output/items_yaml
I, [2024-11-19T10:39:24.914937 #11512]  INFO -- : Processed file: example_file
E, [2024-11-19T10:39:24.915207 #11512] ERROR -- : Error: Example error
I, [2024-11-19T10:39:24.915401 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Товар 1, price: 150, subtitle: No subtitle available, image_url: default.jpg
I, [2024-11-19T10:39:24.919476 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Durable Steel Car, price: 953.86, subtitle: Voluptatum est quia et sunt., image_url: dolore.jpg
I, [2024-11-19T10:39:24.921011 #11512]  INFO -- : Cart initialized with an empty items array
I, [2024-11-19T10:39:24.922213 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Synergistic Leather Clock, price: 896.33, subtitle: Alias explicabo praesentium omnis et., image_url: dolor.jpg
I, [2024-11-19T10:39:24.922671 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Synergistic Leather Clock, price: 896.33, subtitle: Alias explicabo praesentium omnis et., image_url: dolor.jpg
I, [2024-11-19T10:39:24.923563 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Ergonomic Bronze Wallet, price: 760.18, subtitle: Accusantium earum sed vero rem., image_url: ad.jpg
I, [2024-11-19T10:39:24.923843 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Ergonomic Bronze Wallet, price: 760.18, subtitle: Accusantium earum sed vero rem., image_url: ad.jpg
I, [2024-11-19T10:39:24.924416 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Ergonomic Aluminum Coat, price: 338.6, subtitle: Doloribus cum aliquam velit id., image_url: ea.jpg
I, [2024-11-19T10:39:24.924597 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Ergonomic Aluminum Coat, price: 338.6, subtitle: Doloribus cum aliquam velit id., image_url: ea.jpg
I, [2024-11-19T10:39:24.925212 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Aerodynamic Leather Pants, price: 647.9, subtitle: Sint aliquid qui quia sit., image_url: ipsa.jpg
I, [2024-11-19T10:39:24.925504 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Aerodynamic Leather Pants, price: 647.9, subtitle: Sint aliquid qui quia sit., image_url: ipsa.jpg
I, [2024-11-19T10:39:24.926053 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Incredible Aluminum Lamp, price: 624.45, subtitle: Et id accusantium sunt ipsam., image_url: quia.jpg
I, [2024-11-19T10:39:24.926240 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Incredible Aluminum Lamp, price: 624.45, subtitle: Et id accusantium sunt ipsam., image_url: quia.jpg
I, [2024-11-19T10:39:24.926496 #11512]  INFO -- : 5 test items generated
I, [2024-11-19T10:39:24.926635 #11512]  INFO -- : Showing all items in the cart
I, [2024-11-19T10:39:24.931496 #11512]  INFO -- : Items saved to text file: output/items.txt
I, [2024-11-19T10:39:24.932424 #11512]  INFO -- : Items saved to JSON file: output/items.json
I, [2024-11-19T10:39:24.933404 #11512]  INFO -- : Items saved to CSV file: output/items.csv
I, [2024-11-19T10:39:24.940673 #11512]  INFO -- : Items saved to YAML files in directory: output/items_yaml
I, [2024-11-19T10:40:53.056961 #19316]  INFO -- : Processed file: example_file
I, [2024-11-19T10:40:53.057352 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Товар 1, price: 150, subtitle: No subtitle available, image_url: default.jpg
I, [2024-11-19T10:40:54.447116 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Durable Cotton Bottle, price: 227.47, subtitle: Quia aut minus facere qui., image_url: autem.jpg
I, [2024-11-19T10:40:54.448529 #19316]  INFO -- : Cart initialized with an empty items array
I, [2024-11-19T10:40:54.449094 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Mediocre Granite Computer, price: 392.42, subtitle: Ducimus voluptatem aut laborum a., image_url: sed.jpg
I, [2024-11-19T10:40:54.449381 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Mediocre Granite Computer, price: 392.42, subtitle: Ducimus voluptatem aut laborum a., image_url: sed.jpg
I, [2024-11-19T10:40:54.449870 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Durable Wool Shirt, price: 318.89, subtitle: Velit mollitia et illo sit., image_url: quo.jpg
I, [2024-11-19T10:40:54.450134 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Durable Wool Shirt, price: 318.89, subtitle: Velit mollitia et illo sit., image_url: quo.jpg
I, [2024-11-19T10:40:54.450499 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Synergistic Cotton Plate, price: 662.44, subtitle: Nihil ea at iusto voluptatem., image_url: et.jpg
I, [2024-11-19T10:40:54.450726 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Synergistic Cotton Plate, price: 662.44, subtitle: Nihil ea at iusto voluptatem., image_url: et.jpg
I, [2024-11-19T10:40:54.451178 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Practical Bronze Chair, price: 492.94, subtitle: Aliquid voluptas voluptate sequi repellendus., image_url: impedit.jpg
I, [2024-11-19T10:40:54.451410 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Practical Bronze Chair, price: 492.94, subtitle: Aliquid voluptas voluptate sequi repellendus., image_url: impedit.jpg
I, [2024-11-19T10:40:54.451827 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Awesome Concrete Lamp, price: 993.01, subtitle: Sequi illo dolorem maiores et., image_url: asperiores.jpg
I, [2024-11-19T10:40:54.452074 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Awesome Concrete Lamp, price: 993.01, subtitle: Sequi illo dolorem maiores et., image_url: asperiores.jpg
I, [2024-11-19T10:40:54.452217 #19316]  INFO -- : 5 test items generated
I, [2024-11-19T10:40:54.452543 #19316]  INFO -- : Showing all items in the cart
I, [2024-11-19T10:40:54.456526 #19316]  INFO -- : Items saved to text file: output/items.txt
I, [2024-11-19T10:40:54.457618 #19316]  INFO -- : Items saved to JSON file: output/items.json
I, [2024-11-19T10:40:54.458951 #19316]  INFO -- : Items saved to CSV file: output/items.csv
I, [2024-11-19T10:40:54.469230 #19316]  INFO -- : Items saved to YAML files in directory: output/items_yaml
I, [2024-11-19T10:40:54.493548 #19316]  INFO -- : Processed file: example_file
I, [2024-11-19T10:40:54.493850 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Товар 1, price: 150, subtitle: No subtitle available, image_url: default.jpg
I, [2024-11-19T10:40:54.496529 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Incredible Steel Knife, price: 212.79, subtitle: Deleniti rerum consequatur et iusto., image_url: rerum.jpg
I, [2024-11-19T10:40:54.497571 #19316]  INFO -- : Cart initialized with an empty items array
I, [2024-11-19T10:40:54.498134 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Awesome Granite Hat, price: 658.22, subtitle: Cum est dignissimos voluptatem vel., image_url: in.jpg
I, [2024-11-19T10:40:54.498327 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Awesome Granite Hat, price: 658.22, subtitle: Cum est dignissimos voluptatem vel., image_url: in.jpg
I, [2024-11-19T10:40:54.498781 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Lightweight Wool Bag, price: 371.58, subtitle: Quo ad qui voluptatum dicta., image_url: voluptas.jpg
I, [2024-11-19T10:40:54.499080 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Lightweight Wool Bag, price: 371.58, subtitle: Quo ad qui voluptatum dicta., image_url: voluptas.jpg
I, [2024-11-19T10:40:54.500012 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Small Iron Watch, price: 73.56, subtitle: Debitis quos voluptas sapiente vel., image_url: assumenda.jpg
I, [2024-11-19T10:40:54.500256 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Small Iron Watch, price: 73.56, subtitle: Debitis quos voluptas sapiente vel., image_url: assumenda.jpg
I, [2024-11-19T10:40:54.501005 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Intelligent Copper Hat, price: 828.45, subtitle: Reprehenderit non fuga dolore suscipit., image_url: sed.jpg
I, [2024-11-19T10:40:54.501237 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Intelligent Copper Hat, price: 828.45, subtitle: Reprehenderit non fuga dolore suscipit., image_url: sed.jpg
I, [2024-11-19T10:40:54.501664 #19316]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Incredible Cotton Clock, price: 743.52, subtitle: Delectus et voluptatum deleniti occaecati., image_url: voluptatem.jpg
I, [2024-11-19T10:40:54.501841 #19316]  INFO -- : Item added to cart: RbParser::Item - title: Incredible Cotton Clock, price: 743.52, subtitle: Delectus et voluptatum deleniti occaecati., image_url: voluptatem.jpg
I, [2024-11-19T10:40:54.502004 #19316]  INFO -- : 5 test items generated
I, [2024-11-19T10:40:54.502160 #19316]  INFO -- : Showing all items in the cart
I, [2024-11-19T10:40:54.505193 #19316]  INFO -- : Items saved to text file: output/items.txt
I, [2024-11-19T10:40:54.506063 #19316]  INFO -- : Items saved to JSON file: output/items.json
I, [2024-11-19T10:40:54.507942 #19316]  INFO -- : Items saved to CSV file: output/items.csv
I, [2024-11-19T10:40:54.513603 #19316]  INFO -- : Items saved to YAML files in directory: output/items_yaml
I, [2024-11-19T10:42:59.188017 #3808]  INFO -- : Processed file: example_file
I, [2024-11-19T10:42:59.234314 #3808]  INFO -- : Processed file: Initialized SimpleWebsiteParser with config config/yaml/web_parser.yaml
I, [2024-11-19T10:42:59.273483 #3808]  INFO -- : Processed file: Starting parsing process
E, [2024-11-19T10:42:59.274005 #3808] ERROR -- : Error: URL check failed for : absolute URL needed (not nil)
E, [2024-11-19T10:42:59.274718 #3808] ERROR -- : Error: Start URL is not accessible: 
I, [2024-11-19T10:42:59.305118 #3808]  INFO -- : Processed file: example_file
I, [2024-11-19T10:42:59.307278 #3808]  INFO -- : Processed file: Initialized SimpleWebsiteParser with config config/yaml/web_parser.yaml
I, [2024-11-19T10:42:59.334074 #3808]  INFO -- : Processed file: Starting parsing process
E, [2024-11-19T10:42:59.334381 #3808] ERROR -- : Error: URL check failed for : absolute URL needed (not nil)
E, [2024-11-19T10:42:59.335708 #3808] ERROR -- : Error: Start URL is not accessible: 
